strategy,emotion,base_weight,adjusted_weight,factor,change
conservative,angry,0.5281655192375183,0.6866151690483093,1.2999999887147793,0.15844964981079102
conservative,disgust,4.0772175788879395,3.465635061264038,0.8500000292379024,-0.6115825176239014
conservative,fear,0.5174720883369446,0.7762081623077393,1.500000057592135,0.2587360739707947
conservative,happy,0.3384384214878082,0.3215164840221405,0.9499999515679182,-0.016921937465667725
conservative,neutral,0.4444923996925354,0.4444923996925354,1.0,0.0
conservative,sad,0.45409131050109863,0.4086821675300598,0.8999999737477272,-0.04540914297103882
conservative,surprise,0.6401224732398987,0.6401224732398987,1.0,0.0
moderate,angry,0.5281655192375183,0.9506978988647461,1.7999999322886755,0.4225323796272278
moderate,disgust,4.0772175788879395,2.8540523052215576,0.7,-1.2231652736663818
moderate,fear,0.5174720883369446,1.293680191040039,2.499999942407865,0.7762081027030945
moderate,happy,0.3384384214878082,0.30459457635879517,0.899999991194167,-0.03384384512901306
moderate,neutral,0.4444923996925354,0.4444923996925354,1.0,0.0
moderate,sad,0.45409131050109863,0.3632730543613434,0.8000000131261364,-0.09081825613975525
moderate,surprise,0.6401224732398987,0.6401224732398987,1.0,0.0
aggressive,angry,0.5281655192375183,1.1619641780853271,2.2000000677113247,0.6337986588478088
aggressive,disgust,4.0772175788879395,2.0386087894439697,0.5,-2.0386087894439697
aggressive,fear,0.5174720883369446,1.5524163246154785,3.00000011518427,1.034944236278534
aggressive,happy,0.3384384214878082,0.28767266869544983,0.8500000308204156,-0.0507657527923584
aggressive,neutral,0.4444923996925354,0.4444923996925354,1.0,0.0
aggressive,sad,0.45409131050109863,0.27245479822158813,0.6000000262522728,-0.1816365122795105
aggressive,surprise,0.6401224732398987,0.6401224732398987,1.0,0.0
